"","QCno","pr.y","group","metric"
"386",26,0.166666666666667,"Individual Value CUSUM+","FWHM"
"387",27,0,"Individual Value CUSUM+","FWHM"
"388",28,0,"Individual Value CUSUM+","FWHM"
"389",29,0,"Individual Value CUSUM+","FWHM"
"390",30,0,"Individual Value CUSUM+","FWHM"
"391",31,0,"Individual Value CUSUM+","FWHM"
"392",32,0,"Individual Value CUSUM+","FWHM"
"393",33,0,"Individual Value CUSUM+","FWHM"
"394",34,0,"Individual Value CUSUM+","FWHM"
"395",35,0,"Individual Value CUSUM+","FWHM"
"396",36,0.166666666666667,"Individual Value CUSUM+","FWHM"
"397",37,0,"Individual Value CUSUM+","FWHM"
"398",38,0,"Individual Value CUSUM+","FWHM"
"399",39,0,"Individual Value CUSUM+","FWHM"
"400",40,0.166666666666667,"Individual Value CUSUM+","FWHM"
"401",41,0.166666666666667,"Individual Value CUSUM+","FWHM"
"402",42,0.333333333333333,"Individual Value CUSUM+","FWHM"
"403",43,0.333333333333333,"Individual Value CUSUM+","FWHM"
"404",44,0.333333333333333,"Individual Value CUSUM+","FWHM"
"405",45,0.333333333333333,"Individual Value CUSUM+","FWHM"
"406",1,0,"Individual Value CUSUM-","FWHM"
"407",2,0,"Individual Value CUSUM-","FWHM"
"408",3,0,"Individual Value CUSUM-","FWHM"
"409",4,0,"Individual Value CUSUM-","FWHM"
"410",5,0,"Individual Value CUSUM-","FWHM"
"411",6,0,"Individual Value CUSUM-","FWHM"
"412",7,0,"Individual Value CUSUM-","FWHM"
"413",8,0,"Individual Value CUSUM-","FWHM"
"414",9,0.166666666666667,"Individual Value CUSUM-","FWHM"
"415",10,0.166666666666667,"Individual Value CUSUM-","FWHM"
"416",11,0.166666666666667,"Individual Value CUSUM-","FWHM"
"417",12,0.166666666666667,"Individual Value CUSUM-","FWHM"
"418",13,0.166666666666667,"Individual Value CUSUM-","FWHM"
"419",14,0.166666666666667,"Individual Value CUSUM-","FWHM"
"420",15,0.166666666666667,"Individual Value CUSUM-","FWHM"
"421",16,0.166666666666667,"Individual Value CUSUM-","FWHM"
"422",17,0.333333333333333,"Individual Value CUSUM-","FWHM"
"423",18,0.166666666666667,"Individual Value CUSUM-","FWHM"
"424",19,0.166666666666667,"Individual Value CUSUM-","FWHM"
"425",20,0.333333333333333,"Individual Value CUSUM-","FWHM"
"426",21,0.5,"Individual Value CUSUM-","FWHM"
"427",22,0.333333333333333,"Individual Value CUSUM-","FWHM"
"428",23,0.5,"Individual Value CUSUM-","FWHM"
"429",24,0.333333333333333,"Individual Value CUSUM-","FWHM"
"430",25,0.333333333333333,"Individual Value CUSUM-","FWHM"
"431",26,0.166666666666667,"Individual Value CUSUM-","FWHM"
"432",27,0.166666666666667,"Individual Value CUSUM-","FWHM"
"433",28,0.166666666666667,"Individual Value CUSUM-","FWHM"
"434",29,0.166666666666667,"Individual Value CUSUM-","FWHM"
"435",30,0.166666666666667,"Individual Value CUSUM-","FWHM"
"436",31,0.166666666666667,"Individual Value CUSUM-","FWHM"
"437",32,0.166666666666667,"Individual Value CUSUM-","FWHM"
"438",33,0.166666666666667,"Individual Value CUSUM-","FWHM"
"439",34,0.166666666666667,"Individual Value CUSUM-","FWHM"
"440",35,0.166666666666667,"Individual Value CUSUM-","FWHM"
"441",36,0.166666666666667,"Individual Value CUSUM-","FWHM"
"442",37,0.166666666666667,"Individual Value CUSUM-","FWHM"
"443",38,0.166666666666667,"Individual Value CUSUM-","FWHM"
"444",39,0.166666666666667,"Individual Value CUSUM-","FWHM"
"445",40,0.166666666666667,"Individual Value CUSUM-","FWHM"
"446",41,0.166666666666667,"Individual Value CUSUM-","FWHM"
"447",42,0.166666666666667,"Individual Value CUSUM-","FWHM"
"448",43,0.166666666666667,"Individual Value CUSUM-","FWHM"
"449",44,0.166666666666667,"Individual Value CUSUM-","FWHM"
